country,variable,coef,se
DEU,lcpi_csmean_lag,-1.1519468681517537,0.3172322647615236
DEU,lenpr_csmean_lag,0.3036411477659158,0.11449530882522434
DEU,open_csmean_lag,-0.1538202454516977,0.059046279684763094
DEU,expgdp_csmean_lag,0.6224164472478151,0.3328761586534518
DEU,iy_csmean_lag,-1.6655979351244241,0.8267307925824043
DEU,dlenpr,-0.12850693962764126,0.11716676987101214
DNK,const,2.3767428610808565,1.0408563374296427
DNK,l_dlcpi2,-0.05076385528229821,0.09847375060473149
DNK,dopen,0.21608963194682929,0.130987757973772
DNK,dexpgdp,-0.11608582248197763,0.0776151423943207
DNK,diy,0.32366998044278716,0.1834133901506966
DNK,l_lrgdpmad,-0.27958899841314633,0.132433822801192
DNK,l_lcpi,-0.32988248951329524,0.09260779131432822
DNK,l_open,0.41427472935845344,0.128169748540893
DNK,l_iy,0.022393862490389438,0.24020042762949703
DNK,mod,-0.01672576720368646,0.007275607972624766
DNK,dlenprmod,-0.020963172507094896,0.0359800962558833
DNK,lrgdpmad_csmean,1.0294694168060232,0.18337650433088823
DNK,lcpi_csmean,-0.2970052115160797,0.2209919255941597
DNK,lenpr_csmean,0.10639398030764369,0.0402480031733152
DNK,open_csmean,-0.1295920247284812,0.04276284019812317
DNK,expgdp_csmean,-0.6578868132696698,0.2894528942674648
DNK,iy_csmean,-1.1071340217055479,0.45143519418432504
DNK,lrgdpmad_csmean_lag,-1.022591342540636,0.20647339176148238
DNK,lcpi_csmean_lag,0.687264399306514,0.2503122839489341
DNK,lenpr_csmean_lag,-0.061780466435777726,0.0467422128988768
DNK,open_csmean_lag,-0.10863725540531277,0.04277404182181148
DNK,expgdp_csmean_lag,-0.023760796867918543,0.387799048567088
DNK,iy_csmean_lag,0.8705223515507896,0.49120468545266005
DNK,dlenpr,-0.011982093184080611,0.02316679406261513
ESP,const,0.6613731379329693,0.5392210398722604
ESP,l_dlcpi2,-0.036112319399990156,0.042610625925209346
ESP,dopen,0.024550940119837605,0.09965269959024094
ESP,dexpgdp,-0.01893466883018391,0.09211696050085771
ESP,diy,0.6343286945530053,0.11150923983906856
ESP,l_lrgdpmad,-0.4679278416838315,0.10676701561646443
ESP,l_lcpi,-0.11574367010734932,0.05917052642959961
ESP,l_open,-0.11106405200371228,0.0678368873050939
ESP,l_iy,0.540463181845098,0.16064014951138023
ESP,mod,-0.002700901935611455,0.004412531358674906
ESP,dlenprmod,0.02040735835478813,0.025450655540148366
ESP,lrgdpmad_csmean,0.531255392832918,0.22617966153158034
ESP,lcpi_csmean,0.05869859648282727,0.217489011179059
ESP,lenpr_csmean,-0.14088770497323821,0.042325055165527585
ESP,open_csmean,0.08776700819271355,0.043450011014367386
ESP,expgdp_csmean,-0.31342785349625046,0.2645565796386581
ESP,iy_csmean,-0.5930936237837159,0.5132314515509349
ESP,lrgdpmad_csmean_lag,-0.1708238791984371,0.23361188294615753
ESP,lcpi_csmean_lag,0.22787432443874422,0.28863756947258185
ESP,lenpr_csmean_lag,0.0087391907277663,0.04479919664748853
ESP,open_csmean_lag,0.07062326348784609,0.05142295435826132
ESP,expgdp_csmean_lag,-0.08017336252669338,0.28842311736074516
ESP,iy_csmean_lag,0.643947892856886,0.3318310741970804
ESP,dlenpr,0.024168139498357277,0.023143636815924132
FIN,const,1.5016442255036964,1.2668897760816564
FIN,l_dlcpi2,-0.6736044218846473,0.2006613433659125
FIN,dopen,0.33676122860060786,0.081418292772957
FIN,dexpgdp,-0.005423349696570767,0.15147282751751429
FIN,diy,1.2327175131679269,0.2060151576794391
FIN,l_lrgdpmad,-0.47904763291990093,0.1569222180936674
FIN,l_lcpi,-0.1254126387702854,0.18375830310633962
FIN,l_open,0.37713901081713175,0.08731343716877196
FIN,l_iy,1.4391393021837757,0.3180793012922443
FIN,mod,-0.039591782240847806,0.009643197409611276
FIN,dlenprmod,0.0040333806570060915,0.08273108231356369
FIN,lrgdpmad_csmean,0.9305445303847364,0.28948198153928123
FIN,lcpi_csmean,-0.10069567364439536,0.2768483763020028
FIN,lenpr_csmean,0.07856889115930699,0.08284764743342778
FIN,open_csmean,-0.20935695216365957,0.07876509697625333
FIN,expgdp_csmean,-0.17000021461262804,0.5083965187818107
FIN,iy_csmean,-1.179033906933455,0.7210450669023495
FIN,lrgdpmad_csmean_lag,-0.6738787761801177,0.3295283291702346
FIN,lcpi_csmean_lag,0.34478169220801647,0.37704073963977924
FIN,lenpr_csmean_lag,-0.12046222823869357,0.10018052094569052
FIN,open_csmean_lag,0.08237461577493832,0.09088317608355466
FIN,expgdp_csmean_lag,0.5293717551794543,0.67140989405307
FIN,iy_csmean_lag,0.2969168608105974,0.5526769838358646
FIN,dlenpr,-0.0962659394417642,0.1320228145894178
FRA,const,1.7957895603904035,1.1862127550411248
FRA,l_dlcpi2,0.04545997404011359,0.0794354765156219
FRA,dopen,0.12909962868639013,0.10500353348569212
