variant,variable,coef,se,t,p
recession,lenpr_csmean,-0.007233988586813146,0.03314207262926102,-0.21827206366165172,0.8272171396633785
recession,lenpr_csmean_lag,-0.02893067803321387,0.04422180805830279,-0.6542174393925995,0.5129717275745751
recession,lrgdpmad_csmean,0.99887590005184,0.2148734165978447,4.648671370648552,3.340799919149262e-06
recession,lrgdpmad_csmean_lag,-0.501041933629454,0.16336118659468396,-3.067080645493786,0.0021616052969390953
recession,mod,-0.0005617720775655041,0.0068459368335531965,-0.08205919675042221,0.9345996399261756
recession,open_csmean,-0.05012037880778784,0.026653264122801265,-1.880459315484402,0.0600455061541143
recession,open_csmean_lag,0.0367597061615287,0.04460972435786189,0.8240289912271175,0.40992308530223465
recession,recession_2009,0.005232894744874072,0.004930079771404054,1.0614219216545817,0.2884981988151636
gerire,const,-0.3309445095011243,0.8115434369060482,-0.4077964215480896,0.6834231410025544
gerire,dexpgdp,-0.09263976355999483,0.07573438352836293,-1.2232193522153745,0.22124685814285927
gerire,diy,0.5143090668737721,0.13458368376143842,3.821481568192403,0.00013265232997605736
gerire,dlenpr,-0.02421525787089212,0.026912106666655958,-0.899790498411437,0.36823175176931056
gerire,dlenprmod,0.024217927395349018,0.03237098097556604,0.7481369629678188,0.4543775487599775
gerire,dopen,0.08761276856122101,0.04643485956273691,1.8867887054304475,0.05918875086890152
gerire,expgdp_csmean,-0.08438832524057854,0.19543092717936555,-0.4318064006477713,0.6658821271423252
gerire,expgdp_csmean_lag,0.1924379526819343,0.1886031993471063,1.0203323875104076,0.3075708480696697
gerire,iy_csmean,-0.7965964747798735,0.24767067131019768,-3.216353678721079,0.0012983072052523692
gerire,iy_csmean_lag,0.09853321232024984,0.28085673237720893,0.35083087197608387,0.725715235000884
gerire,l_dlcpi2,-0.10162209898548408,0.06846309471176779,-1.4843339964884286,0.13772033552461793
gerire,l_iy,0.4639075728096821,0.13352406954496857,3.4743366824469515,0.0005121180102194423
gerire,l_lcpi,-0.10923439971887837,0.054374097058023485,-2.008941860722994,0.04454329984459138
gerire,l_lrgdpmad,-0.4305378040308483,0.07903058525929937,-5.447736501232448,5.101485833769459e-08
gerire,l_open,0.127162956967232,0.039307458597366285,3.235084676162511,0.0012160666069969128
gerire,lcpi_csmean,-0.024481808471427433,0.1296301147960005,-0.18885895850632056,0.8502033610076907
gerire,lcpi_csmean_lag,0.09211961885557685,0.1543579798434667,0.5967920735228246,0.550646210688758
gerire,lenpr_csmean,0.001051470486399037,0.03154825547529699,0.03332895814864827,0.9734122613195351
gerire,lenpr_csmean_lag,-0.031725835471018766,0.04249091869026695,-0.7466497889179776,0.45527498597699156
gerire,lrgdpmad_csmean,0.9699631216219713,0.20871980172779686,4.647202199276494,3.36467323691636e-06
gerire,lrgdpmad_csmean_lag,-0.4754028151579372,0.16080707486392212,-2.9563550954473348,0.003112984676036268
gerire,mod,-0.0003139964983040539,0.0069650911700356805,-0.045081462774656744,0.9640423769616882
gerire,open_csmean,-0.04629465175216296,0.026350432991797363,-1.7568839102785918,0.07893759866114203
gerire,open_csmean_lag,0.03486540162696864,0.043821745819771704,0.7956187270667319,0.4262536783761477
sixties,const,-0.062053449687937245,0.25249285431410284,-0.24576319142379502,0.8058655522496483
sixties,dexpgdp,-0.11336169871978541,0.07312743338658398,-1.5501938666506356,0.1210949915088868
sixties,diy,0.5545903600579665,0.09796802799766172,5.660932157082955,1.505529412249018e-08
sixties,dlenpr,-0.01677081788802602,0.024775307951882992,-0.6769166268527206,0.49845885411850244
sixties,dlenprmod,-0.0011048105127737056,0.023914153326288205,-0.04619902271677819,0.9631516214037552
sixties,dopen,0.14446666450616716,0.038122014416288624,3.789586324809741,0.00015089836661608125
sixties,expgdp_csmean,-0.0822479895055071,0.12200685071807844,-0.6741259939210934,0.5002312148027197
sixties,expgdp_csmean_lag,0.0644280040721507,0.12979919626283043,0.4963667412985394,0.6196356857787721
sixties,iy_csmean,-0.7494790048507475,0.17766290804956822,-4.2185451824397795,2.4588370249434277e-05
sixties,iy_csmean_lag,0.32000500105077534,0.17326641460747336,1.8468957286138292,0.0647622539256072
sixties,l_dlcpi2,-0.10105648767120871,0.0403126415548016,-2.5068187986101345,0.012182314540121864
sixties,l_iy,0.32156768973858463,0.07981102061523918,4.029113864973984,5.598749682267368e-05
sixties,l_lcpi,-0.07792490138686385,0.03202033660014285,-2.4336065657259898,0.014949234214097551
sixties,l_lrgdpmad,-0.3497038478324394,0.04751408297689566,-7.360004148717075,1.8385293287792592e-13
sixties,l_open,0.14860187032404643,0.036705545222284704,4.048485574158619,5.1550110879761135e-05
sixties,lcpi_csmean,0.051982599489765136,0.08414225054980717,0.6177942609105107,0.5367109670475563
sixties,lcpi_csmean_lag,0.018538024318581217,0.08683003518682002,0.2134978326185812,0.830938679470721
sixties,lenpr_csmean,0.007670401143935616,0.03454366346772351,0.2220494404452091,0.8242753959674498
sixties,lenpr_csmean_lag,-0.02387456609951815,0.022808574959904605,-1.0467364200300746,0.29522116140740184
sixties,lrgdpmad_csmean,0.9022151265069343,0.11731217487429312,7.690720315037299,1.4654943925052066e-14
sixties,lrgdpmad_csmean_lag,-0.5360359765916011,0.13415445837282994,-3.9956627837287253,6.451350989289395e-05
sixties,mod,-6.612159455067336e-05,0.006047283097913816,-0.010934099409614857,0.9912760247269248
sixties,open_csmean,-0.07956050424948519,0.029163827791441613,-2.728054246460505,0.006370913015435464
sixties,open_csmean_lag,-0.008873900485703246,0.01980903498354697,-0.4479723769014366,0.6541731323680495
